genus,species
Bryophryne,hanssaueri
Bryophryne,nubilosus
Eleutherodactylus,cundalli
Eleutherodactylus,gossei
Eleutherodactylus,johnstonei
Eleutherodactylus,planirostris
Gastrophryne,carolinensis
Hypsiboas,faber
Rana,sylvatica
Physalaemus,cuvieri
Pleurodema,diplolistris
Pristimantis,danae
Pristimantis,pharangobates
Pristimantis,salaputium
Pristimantis,toftae
Hyla,regilla
Psychrophrynella,usurpator
Rhinella,icterica
Alytes,cisternasii
Alytes,dickhilleni
Alytes,muletensis
Bufo,bufo
Ceratophrys,cranwelli
Crossodactylus,schmidti
Dendropsophus,minutus
Dermatonotus,muelleri
Discoglossus,galganoi
Elachistocleis,bicolor
Epidalea,calamita
Hyla,arborea
Hyla,meridionalis
Hyla,versicolor
Rana,erythraea
Hypsiboas,curupi
Hypsiboas,raniceps
Kaloula,kalingensis
Kaloula,walteri
Lepidobatrachus,llanensis
Leptodactylus,bufonius
Leptodactylus,latinasus
Leptodactylus,latrans
Leptodactylus,podicipinus
Limnomedusa,macroglossa
Rana,woodworthi
Rana,vergatipes
Melanophryniscus,devincenzii
Occidozyga,laevis
Pelobates,cultripes
Pelodytes,ibericus
Pelophylax,lessonae
Pelophylax,perezi
Philautus,surdus
Phyllomedusa,sauvagii
Phyllomedusa,tetraploidea
Physalaemus,albonotatus
Platymantis,banahao
Platymantis,corrugatus
Platymantis,dorsalis
Platymantis,luzonensis
Platymantis,montanus
Pleurodeles,waltl
Pseudis,limellum
Pseudis,platensis
Rana,arvalis
Rana,iberica
Rana,temporaria
Rhinella,ornata
Rhinella,azarai
Rhinella,schneideri
Salamandra,salamandra
Sanguirana,luzonensis
Rana,luzonensis
Scinax,acuminatus
Scinax,fuscovarius
Scinax,nasicus
Trachycephalus,venulosus
Lissotriton,boscai
Triturus,cristatus
Triturus,pygmaeus
Acris,crepitans
Bufo,terrestris
Desmognathus,quadramaculcatus
Diemictylus,viridescens
Acris,gryllus
Ambystoma,jeffersonianum
Aneides,ferreus
Ascaphus,truei
Buergeria,japonica
Eleutherodactylus,portoricensis
Eleutherodactylus,richmondi
Ensatina,escholtzii
Fejervarya,cancrivora
Hyla,andersonii
Hyla,cinerea
Hyla,squirella
Limnodynastes,peronii
Limnodynastes,salmini
Rana,berlandieri
Cyclorana,alboguttatus
Cyclorana,australis
Litoria,caerulea
Hyla,eucnemis
Hyla,freycineti
Hyla,nasuta
Hyla,nigrofrenata
Hyla,pearsoniana
Mixophyes,fasciolatus
Neobatrachus,pictus
Neobatrachus,sudelli
Notophthalmus,viridescens
Osteopilus,septentrionalis
Plethodon,dunni
Plethodon,vehiculum
Hyla,crucifer
Pseudophryne,major
Pseudophryne,semimarmorata
Rhyacotriton,olympicus
Rhyacotriton,variegatus
Taudactylus,diurnus
Uperoleia,laevigata
Uperoleia,marmorata
Uperoleia,rugosa
Xenopus,laevis
Necturus,maculosus
Adelotus,brevis
Phyllomedusa,dacnicolor
Bufo,canorus
Bufo,cognatus
Bufo,compactilis
Bufo,debilis
Bufo,exsul
Bufo,nelsoni
Aneides,aeneus
Crinia,darlingtoni
Cophixalis,ornatus
Cryptobranchus,alleganiensis
Dendrobates,auratus
Desmognathus,ochrophaeus
Crinia,laevis
Hyla,chrysoscelis
Hyla,walkeri
Bufo,alvarius
Bufo,canaliferus
Bufo,marmoreus
Bufo,mazatlanensis
Leptodactylus,melanotus
Limnodynastes,fletcheri
Rana,palmipes
Rana,utricularia
Rana,warschewitschi
Hyla,bicolor
Hyla,citropa
Hyla,verreauxi
Philoria,frosti
Philoria,loveridgei
Philoria,sphagnicola
Plethodon,ouachitae
Plethodon,richmondi
Hyla,californiae
Pseudophryne,corroboree
Pseudophryne,dendyi
Rana,boylei
Rana,cascadae
Rana,chensinensis
Rana,pretiosa
Bufo,haemititicus
Pternohyla,fodiens
Smilisca,baudini
Scaphiopus,hammondi
Hyla,smithi
Odontophrynus,occidentalis
Alsodes,gargola
Pleurodema,bufonium
Rhinella,spinulosa
Dicamptodon,tenebrosus
Ambystoma,laterale
Ambystoma,mabeei
Ambystoma,opacum
Ambystoma,talpoideum
Amphiuma,means
Batrachuperus,tibetanus
Batrachuperus,yenyuanensis
Desmognathus,monticola
Manculus,quadridigitatus
Gyrinophilus,danielsi
Hemidactylium,scutatum
Pachytriton,labiatum
Paramesotriton,chinensis
Plethodon,cinereus
Plethodon,jordani
Plethodon,wehrlei
Pseudotriton,montanus
Taricha,granulosa
Tylototriton,kweichowensis
Triturus,dobrogicus
NA,NA
Bombina,variegata
Eurycea,nana
Hyperolius,tuberilinguis
Hyperolius,viridiflavus
Litoria,bicolor
Litoria,coplandi
Litoria,dahlii
Litoria,inermis
Litoria,nasuta
Litoria,rothii
Litoria,rubella
Litoria,tornieri
