genus_species,genus,species,phylum,order,family,class
Geophagus brasiliensis,Geophagus,brasiliensis,NA,NA,Cichlidae,Actinopteri
Gibelion catla,Gibelion,catla,NA,NA,Cyprinidae,Actinopteri
Gila elegans,Gila,elegans,Chordata,Cypriniformes,Cyprinidae,Actinopteri
Gila intermedia,Gila,intermedia,Chordata,Cypriniformes,Cyprinidae,Actinopteri
Gila robusta,Gila,robusta,Chordata,Cypriniformes,Cyprinidae,Actinopteri
Gillichthys mirabilis,Gillichthys,mirabilis,Chordata,Gobiiformes,Gobiidae,Actinopteri
Gobiesox strumosus,Gobiesox,strumosus,NA,NA,Gobiesocidae,Actinopteri
Gobio gobio,Gobio,gobio,NA,NA,Cyprinidae,Actinopteri
Gobiomorphus basalis,Gobiomorphus,basalis,NA,NA,Eleotridae,Actinopteri
Gobiomorphus cotidianus,Gobiomorphus,cotidianus,NA,NA,Eleotridae,Actinopteri
Gobiosoma chiquita,Gobiosoma,chiquita,NA,NA,Gobiidae,Actinopteri
Gymnocephalus cernua,Gymnocephalus,cernua,NA,NA,Percidae,Actinopteri
Gymnocharacinus bergii,Gymnocharacinus,bergii,NA,NA,Characidae,Actinopteri
Halichoeres nigrescens,Halichoeres,nigrescens,NA,NA,Labridae,Actinopteri
Halozetes belgicae,Halozetes,belgicae,Arthropoda,Oribatida,Ameronothridae,Arachnida
Halozetes fulvus,Halozetes,fulvus,Arthropoda,Oribatida,Ameronothridae,Arachnida
Halozetes marinus,Halozetes,marinus,Arthropoda,Oribatida,Ameronothridae,Arachnida
Halozetes marionensis,Halozetes,marionensis,Arthropoda,Oribatida,Ameronothridae,Arachnida
Hesperoleucus symmetricus,Hesperoleucus,symmetricus,NA,NA,Cyprinidae,Actinopteri
Heteropneustes fossilis,Heteropneustes,fossilis,NA,NA,Heteropneustidae,Actinopteri
Horabagrus brachysoma,Horabagrus,brachysoma,NA,NA,Bagridae,Actinopteri
Hyla alpina,Hyla,alpina,Chordata,Anura,Hylidae,Amphibia
Hypentelium nigricans,Hypentelium,nigricans,NA,NA,Catostomidae,Actinopteri
Hyperolius viridiflavus,Hyperolius,viridiflavus,NA,Anura,Hyperoliidae,Amphibia
Hypomesus transpacificus,Hypomesus,transpacificus,NA,NA,Osmeridae,Actinopteri
Hypophthalmichthys molitrix,Hypophthalmichthys,molitrix,NA,NA,Cyprinidae,Actinopteri
Hypophthalmichthys nobilis,Hypophthalmichthys,nobilis,NA,NA,Cyprinidae,Actinopteri
Hypseleotris galii,Hypseleotris,galii,NA,NA,Eleotridae,Actinopteri
Hypsoblennius gilberti,Hypsoblennius,gilberti,NA,NA,Blenniidae,Actinopteri
Hysterocarpus traskii,Hysterocarpus,traskii,NA,NA,Embiotocidae,Actinopteri
Ictalurus punctatus,Ictalurus,punctatus,NA,NA,Ictaluridae,Actinopteri
Incilius alvarius,Incilius,alvarius,NA,Anura,Bufonidae,Amphibia
Incilius marmoreus,Incilius,marmoreus,NA,Anura,Bufonidae,Amphibia
Incilius mazatlanensis,Incilius,mazatlanensis,NA,Anura,Bufonidae,Amphibia
Kuhlia sandvicensis,Kuhlia,sandvicensis,NA,NA,Kuhliidae,Actinopteri
Labeo rohita,Labeo,rohita,NA,NA,Cyprinidae,Actinopteri
Lates calcarifer,Lates,calcarifer,NA,NA,Centropomidae,Actinopteri
Lavinia exilicauda,Lavinia,exilicauda,NA,NA,Cyprinidae,Actinopteri
Leiostomus xanthurus,Leiostomus,xanthurus,NA,NA,Sciaenidae,Actinopteri
Lepidomeda copei,Lepidomeda,copei,NA,NA,Cyprinidae,Actinopteri
Lepidomeda mollispinis,Lepidomeda,mollispinis,NA,NA,Cyprinidae,Actinopteri
Lepomis cyanellus,Lepomis,cyanellus,NA,NA,Centrarchidae,Actinopteri
Lepomis gibbosus,Lepomis,gibbosus,NA,NA,Centrarchidae,Actinopteri
Lepomis macrochirus,Lepomis,macrochirus,NA,NA,Centrarchidae,Actinopteri
Leptodactylus melanonotus,Leptodactylus,melanonotus,NA,Anura,Leptodactylidae,Amphibia
Leuresthes sardina,Leuresthes,sardina,NA,NA,Atherinopsidae,Teleostei
Leuresthes tenuis,Leuresthes,tenuis,NA,NA,Atherinopsidae,Actinopteri
Limia melanonotata,Limia,melanonotata,NA,NA,Poeciliidae,Actinopteri
Limnodynastes dorsalis,Limnodynastes,dorsalis,Chordata,Anura,Hylidae,Amphibia
Limnodynastes dorsalis,Limnodynastes,dorsalis,Chordata,Anura,Myobatrachidae,Amphibia
Limnodynastes peroni,Limnodynastes,peroni,Chordata,Anura,Hylidae,Amphibia
Limnodynastes peronii,Limnodynastes,peronii,NA,Anura,Myobatrachidae,Amphibia
Limnodynastes tasmaniensis,Limnodynastes,tasmaniensis,Chordata,Anura,Myobatrachidae,Amphibia
Limnodynastes tasmaniensis,Limnodynastes,tasmaniensis,Chordata,Anura,Hylidae,Amphibia
Linepithema humile,Linepithema,humile,Arthropoda,Hymenoptera,Formicidae,Insecta
Lipophrys pholis,Lipophrys,pholis,NA,NA,Blenniidae,Actinopteri
Lithobates catesbeiana,Lithobates,catesbeiana,NA,Anura,Ranidae,Amphibia
Lithobates clamitans,Lithobates,clamitans,NA,Anura,Ranidae,Amphibia
Lithobates palmipes,Lithobates,palmipes,NA,Anura,Ranidae,Amphibia
Lithobates palustris,Lithobates,palustris,NA,Anura,Ranidae,Amphibia
Lithobates pipiens,Lithobates,pipiens,Chordata,Anura,Ranidae,Amphibia
Lithobates pipiens,Lithobates,pipiens,NA,Anura,Ranidae,Amphibia
Lithobates sylvaticus,Lithobates,sylvaticus,Chordata,Anura,Ranidae,Amphibia
Lithobates virgatipes,Lithobates,virgatipes,NA,Anura,Ranidae,Amphibia
Lithobates virgatipes,Lithobates,virgatipes,Chordata,Anura,Ranidae,Amphibia
Litoria bicolor,Litoria,bicolor,NA,Anura,Hylidae,Amphibia
Litoria ewingii,Litoria,ewingii,NA,Anura,Hylidae,Amphibia
Litoria ewingii,Litoria,ewingii,Chordata,Anura,Hylidae,Amphibia
Litoria fallax,Litoria,fallax,NA,Anura,Hylidae,Amphibia
Litoria fallax,Litoria,fallax,Chordata,Anura,Hylidae,Amphibia
Litoria peronii,Litoria,peronii,NA,Anura,Hylidae,Amphibia
Litoria peronii,Litoria,peronii,Chordata,Anura,Hylidae,Amphibia
Litoria rothii,Litoria,rothii,NA,Anura,Hylidae,Amphibia
Litoria rothii,Litoria,rothii,Chordata,Anura,Hylidae,Amphibia
Litoria rubella,Litoria,rubella,NA,Anura,Hylidae,Amphibia
Litoria rubella,Litoria,rubella,Chordata,Anura,Hylidae,Amphibia
Litoria verreauxii,Litoria,verreauxii,NA,Anura,Hylidae,Amphibia
Lota lota,Lota,lota,NA,NA,Lotidae,Actinopteri
Lutjanus malabaricus,Lutjanus,malabaricus,NA,NA,Lutjanidae,Actinopteri
Lutjanus vitta,Lutjanus,vitta,NA,NA,Lutjanidae,Actinopteri
Luxilus chrysocephalus,Luxilus,chrysocephalus,NA,NA,Cyprinidae,Actinopteri
Luxilus cornutus,Luxilus,cornutus,NA,NA,Cyprinidae,Actinopteri
Meda fulgida,Meda,fulgida,Chordata,Cypriniformes,Cyprinidae,Actinopteri
Melanotaenia splendida,Melanotaenia,splendida,NA,NA,Melanotaeniidae,Actinopteri
Metacarcinus magister,Metacarcinus,magister,Arthropoda,Decapoda,Cancridae,Malacostraca
Microgadus tomcod,Microgadus,tomcod,NA,NA,Gadidae,Actinopteri
Micropterus floridanus,Micropterus,floridanus,NA,NA,Centrarchidae,Actinopteri
Micropterus salmoides,Micropterus,salmoides,NA,NA,Centrarchidae,Actinopteri
Monacanthus chinensis,Monacanthus,chinensis,NA,NA,Monacanthidae,Actinopteri
Morone americana,Morone,americana,NA,NA,Moronidae,Actinopteri
Morone chrysops,Morone,chrysops,NA,NA,Moronidae,Actinopteri
Morone saxatilis,Morone,saxatilis,NA,NA,Moronidae,Actinopteri
Moxostoma robustum,Moxostoma,robustum,NA,NA,Catostomidae,Actinopteri
Mugil cephalus,Mugil,cephalus,NA,NA,Mugilidae,Actinopteri
Mulinia lateralis,Mulinia,lateralis,Mollusca,Veneroida,Mactridae,Bivalvia
Mya arenaria,Mya,arenaria,Mollusca,Myoida,Myidae,Bivalvia
Mylopharodon conocephalus,Mylopharodon,conocephalus,NA,NA,Cyprinidae,Actinopteri
Myrmecocystus depilis,Myrmecocystus,depilis,Arthropoda,Hymenoptera,Formicidae,Insecta
Myro kerguelenensis,Myro,kerguelenensis,Arthropoda,Araneae,Desidae,Euchelicerata
Necturus maculosus,Necturus,maculosus,NA,Caudata,Proteidae,Amphibia
Neolissochilus hexagonolepis,Neolissochilus,hexagonolepis,NA,NA,Cyprinidae,Actinopteri
Notemigonus crysoleucas,Notemigonus,crysoleucas,NA,NA,Cyprinidae,Actinopteri
Notolabrus celidotus,Notolabrus,celidotus,NA,NA,Labridae,Actinopteri
Notophthalmus viridescens,Notophthalmus,viridescens,NA,Caudata,Salamandridae,Amphibia
Notothenia angustata,Notothenia,angustata,NA,NA,Nototheniidae,Actinopteri
Notropis atherinoides,Notropis,atherinoides,NA,NA,Cyprinidae,Actinopteri
Notropis hudsonius,Notropis,hudsonius,NA,NA,Cyprinidae,Actinopteri
Notropis topeka,Notropis,topeka,NA,NA,Cyprinidae,Actinopteri
Oligocottus maculosus,Oligocottus,maculosus,NA,NA,Cottidae,Actinopteri
Oncorhynchus apache,Oncorhynchus,apache,NA,NA,Salmonidae,Actinopteri
Oncorhynchus clarkii,Oncorhynchus,clarkii,Chordata,Salmoniformes,Salmonidae,Actinopteri
Oncorhynchus gilae,Oncorhynchus,gilae,NA,NA,Salmonidae,Actinopteri
Oncorhynchus gorbuscha,Oncorhynchus,gorbuscha,NA,NA,Salmonidae,Actinopteri
Oncorhynchus keta,Oncorhynchus,keta,NA,NA,Salmonidae,Actinopteri
Oncorhynchus kisutch,Oncorhynchus,kisutch,NA,NA,Salmonidae,Actinopteri
Oncorhynchus mykiss,Oncorhynchus,mykiss,NA,NA,Salmonidae,Actinopteri
Oncorhynchus nerka,Oncorhynchus,nerka,NA,NA,Salmonidae,Actinopteri
Oncorhynchus tshawytscha,Oncorhynchus,tshawytscha,NA,NA,Salmonidae,Actinopteri
Oreochromis mossambicus,Oreochromis,mossambicus,NA,NA,Cichlidae,Actinopteri
Orthodon microlepidotus,Orthodon,microlepidotus,NA,NA,Cyprinidae,Actinopteri
Oryzias melastigma,Oryzias,melastigma,NA,NA,Adrianichthyidae,Actinopteri
Osmerus mordax,Osmerus,mordax,NA,NA,Osmeridae,Actinopteri
Ostorhinchus aureus,Ostorhinchus,aureus,NA,NA,Apogonidae,Actinopteri
Ostorhinchus novemfasciatus,Ostorhinchus,novemfasciatus,NA,NA,Apogonidae,Actinopteri
Pacifastacus leniusculus,Pacifastacus,leniusculus,Arthropoda,Decapoda,Astacidae,Malacostraca
Pagrus major,Pagrus,major,NA,NA,Sparidae,Actinopteri
Palirhoeus eatoni,Palirhoeus,eatoni,Arthropoda,Coleoptera,Brachyceridae,Insecta
Pangasius pangasius,Pangasius,pangasius,NA,NA,Pangasiidae,Actinopteri
Pantosteus clarkii,Pantosteus,clarkii,Chordata,Cypriniformes,Catostomidae,Actinopteri
Pantosteus platyrhynchus,Pantosteus,platyrhynchus,NA,NA,Catostomidae,Actinopteri
Parabramis pekinensis,Parabramis,pekinensis,NA,NA,Cyprinidae,Actinopteri
Paralichthys californicus,Paralichthys,californicus,NA,NA,Paralichthyidae,Actinopteri
Paralichthys lethostigma,Paralichthys,lethostigma,NA,NA,Paralichthyidae,Actinopteri
Perca flavescens,Perca,flavescens,NA,NA,Percidae,Actinopteri
Perca fluviatilis,Perca,fluviatilis,NA,NA,Percidae,Actinopteri
Perccottus glenii,Perccottus,glenii,NA,NA,Odontobutidae,Actinopteri
Petrosaurus mearnsi,Petrosaurus,mearnsi,Chordata,Squamata,Phrynosomatidae,Lepidosauria
Philoria frosti,Philoria,frosti,NA,Anura,Myobatrachidae,Amphibia
Physalaemus cuvieri,Physalaemus,cuvieri,NA,Anura,Leptodactylidae,Amphibia
Pimephales notatus,Pimephales,notatus,NA,NA,Cyprinidae,Actinopteri
Pimephales promelas,Pimephales,promelas,NA,NA,Cyprinidae,Actinopteri
Plagopterus argentissimus,Plagopterus,argentissimus,NA,NA,Cyprinidae,Actinopteri
Plethodon glutinosus,Plethodon,glutinosus,Chordata,Caudata,Plethodontidae,Amphibia
Pleurodema diplolister,Pleurodema,diplolister,NA,Anura,Leptodactylidae,Amphibia
Plotosus lineatus,Plotosus,lineatus,NA,NA,Plotosidae,Actinopteri
Podacarus auberti,Podacarus,auberti,Arthropoda,Oribatida,Ameronothridae,Arachnida
Poecilia reticulata,Poecilia,reticulata,NA,NA,Poeciliidae,Actinopteri
Poecilia sphenops,Poecilia,sphenops,NA,NA,Poeciliidae,Actinopteri
Poeciliopsis occidentalis,Poeciliopsis,occidentalis,Chordata,Cyprinodontiformes,Poeciliidae,Actinopteri
Pogonichthys macrolepidotus,Pogonichthys,macrolepidotus,Chordata,Cypriniformes,Cyprinidae,Actinopteri
Pomatoschistus minutus,Pomatoschistus,minutus,NA,NA,Gobiidae,Actinopteri
Pomoxis annularis,Pomoxis,annularis,NA,NA,Centrarchidae,Actinopteri
Pomoxis nigromaculatus,Pomoxis,nigromaculatus,NA,NA,Centrarchidae,Actinopteri
Premnas biaculeatus,Premnas,biaculeatus,NA,NA,Pomacentridae,Actinopteri
Prinerigone vagans,Prinerigone,vagans,Arthropoda,Araneae,Desidae,Arachnida
Prochilodus lineatus,Prochilodus,lineatus,NA,NA,Prochilodontidae,Actinopteri
Protobothrops mucrosquamatus,Protobothrops,mucrosquamatus,Chordata,Squamata,Viperidae,Lepidosauria
Pseudacris cadaverina,Pseudacris,cadaverina,NA,Anura,Hylidae,Amphibia
Pseudacris regilla,Pseudacris,regilla,NA,Anura,Hylidae,Amphibia
Pseudacris triseriata,Pseudacris,triseriata,Chordata,Anura,Hylidae,Amphibia
Pseudobagrus vachellii,Pseudobagrus,vachellii,NA,NA,Bagridae,Actinopteri
Pseudocaranx dentex,Pseudocaranx,dentex,NA,NA,Carangidae,Actinopteri
Pseudocrenilabrus multicolor,Pseudocrenilabrus,multicolor,NA,NA,Cichlidae,Actinopteri
Pseudophryne bibroni,Pseudophryne,bibroni,Chordata,Anura,Hylidae,Amphibia
