genus_species,genus,species,latitude,longitude,location_description,realm_general3,acclim_temp,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,ref,life_stage,phylum,class,order,family,realm_specific,realm_general,notes,extractor,original_compilation,n_cat,record_number,record,family1,family2,genus2,species2,family3,genus3,species3,n_comment,raw_ctm2,acclim,acclim_time_life_120,log_acclim_time,safety,photoperiod,ep1,ep2,elevation,log_elevation,geog_cat,abs_lat,log_abs_lat,source,comments,year,citation,range,log_range,introduced,elev_min,elev_max,svl,log_svl,tmxslope,bioclim5,iucn_2014,iucn_2104risk,sampling_habitat,acclimation,rate_acclimation_c_day,methodology,length_experiment_min,body_length_mm,weight_g,phylogeny,reference,realm_general2,acclim_time_original,acclim_time_units
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,25,14,4.4,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.3,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,20,14,1.8,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.3,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,15,14,0.4,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.3,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,25,14,3.9,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.1667,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,20,14,1.6,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.1667,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,15,14,0.2,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.1667,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,25,14,3.7,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.0833,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,20,14,1.4,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.0833,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,15,14,0.1,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.0833,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,25,14,2.8,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.05,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,20,14,0.5,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.05,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,15,14,0.1,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.05,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,25,14,2.5,tmin,0.5,"NA",20,lethal,50percent_survival,NA,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,20,14,0.4,tmin,NA,"NA",20,lethal,50percent_survival,NA,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Pacifastacus leniusculus,Pacifastacus,leniusculus,46.280449,-119.273682,"Columbia river, Richland Washington",Aquatic,15,14,0,tmin,NA,"NA",20,lethal,50percent_survival,NA,"NA","NA",held,"NA","NA",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,2w,weeks
Callorhinus ursinus,Callorhinus,ursinus,57.17828,-170.28876,"St Paul Island, Alaska",Aquatic,NA,0.001388888888888889,6.8,tmin,0.9,SD,6,LTNZ,lower_critical_limit,NA,"NA","NA",held,Feb - Nov,"NA",Rosen_&_Trites_2014,adult,Chordata,Mammalia,Carnivora,Otariidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,2-4m,minutes
Callorhinus ursinus,Callorhinus,ursinus,57.17828,-170.28876,"St Paul Island, Alaska",Aquatic,NA,0.001388888888888889,8,tmin,1.7,SD,6,LTNZ,lower_critical_limit,NA,"NA","NA",held,Feb - Nov,"NA",Rosen_&_Trites_2014,adult,Chordata,Mammalia,Carnivora,Otariidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,2-4m,minutes
Callorhinus ursinus,Callorhinus,ursinus,57.17828,-170.28876,"St Paul Island, Alaska",Aquatic,NA,0.001388888888888889,6.2,tmin,2.9,SD,6,LTNZ,lower_critical_limit,NA,"NA","NA",held,Feb - Nov,"NA",Rosen_&_Trites_2014,adult,Chordata,Mammalia,Carnivora,Otariidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,2-4m,minutes
Callorhinus ursinus,Callorhinus,ursinus,57.17828,-170.28876,"St Paul Island, Alaska",Aquatic,NA,0.001388888888888889,3.9,tmin,1.4,SD,6,LTNZ,lower_critical_limit,NA,"NA","NA",held,Feb - Nov,"NA",Rosen_&_Trites_2014,adult,Chordata,Mammalia,Carnivora,Otariidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,2-4m,minutes
Callorhinus ursinus,Callorhinus,ursinus,57.17828,-170.28876,"St Paul Island, Alaska",Aquatic,NA,0.001388888888888889,5.4,tmin,2.7,SD,6,LTNZ,lower_critical_limit,NA,"NA","NA",held,Feb - Nov,"NA",Rosen_&_Trites_2014,adult,Chordata,Mammalia,Carnivora,Otariidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,2-4m,minutes
Callorhinus ursinus,Callorhinus,ursinus,57.17828,-170.28876,"St Paul Island, Alaska",Aquatic,NA,0.001388888888888889,6.5,tmin,1.5,SD,6,LTNZ,lower_critical_limit,NA,"NA","NA",held,Feb - Nov,"NA",Rosen_&_Trites_2014,adult,Chordata,Mammalia,Carnivora,Otariidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,2-4m,minutes
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,28,57,39.7,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",0.5h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,57-63d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,28,57,39.3,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",1h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,57-63d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,28,57,38.5,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",3h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,57-63d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,28,57,37.7,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",6h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,57-63d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,28,57,37.5,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",12h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,57-63d,days
