"species","v1","v2","scientificName","kingdom","phylum","class","order","family","db","db_code","reported_name_fixed","reported_name"
"Gyps africanus",0,1,"Gyps africanus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:9487001","Gyps africanus","Gyps africanus"
"Gyps himalayensis",1,1,"Gyps himalayensis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:9561629","Gyps himalayensis","Gyps himalayensis"
"Gypsophila papillosa",1,0,"Gypsophila papillosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:5586222","Gypsophila papillosa","Gypsophila papillosa"
"Gyrinus substriatus",1,0,"Gyrinus substriatus","Animalia","Arthropoda","Insecta","Coleoptera","Gyrinidae","gbif","GBIF:5872038","Gyrinus substriatus","Gyrinus substriatus"
"Gyrophaena manca",1,1,"Gyrophaena manca","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","gbif","GBIF:7384124","Gyrophaena angustata","Gyrophaena angustata"
"Gyrophaena boleti",1,1,"Gyrophaena boleti","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","gbif","GBIF:7573001","Gyrophaena boleti","Gyrophaena boleti"
"Gyroweisia tenuis",1,0,"Gyroweisia tenuis","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","gbif","GBIF:2671855","Gyroweisia tenuis","Gyroweisia tenuis"
"Habrosyne pyritoides",1,1,"Habrosyne pyritoides","Animalia","Arthropoda","Insecta","Lepidoptera","Drepanidae","gbif","GBIF:1952062","Habrosyne pyritoides","Habrosyne pyritoides"
"Hackelia amethystina",1,1,"Hackelia amethystina","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:2925949","Hackelia amethystina","Hackelia amethystina"
"Hackelia bella",1,1,"Hackelia bella","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:2925952","Hackelia bella","Hackelia bella"
"Hackelia californica",1,1,"Hackelia californica","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:2925948","Hackelia californica","Hackelia californica"
"Hackelia micrantha",1,1,"Hackelia micrantha","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:2925926","Hackelia micrantha","Hackelia micrantha"
"Hackelia nervosa",1,1,"Hackelia nervosa","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:2925945","Hackelia nervosa","Hackelia nervosa"
"Hackelia virginiana",1,1,"Hackelia virginiana","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:2925932","Hackelia virginiana","Hackelia virginiana"
"Hada plebeja",1,1,"Hada plebeja","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1761041","Hada plebeja","Hada plebeja"
"Hadena albimacula",1,1,"Hadena albimacula","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1787751","Hadena albimacula","Hadena albimacula"
"Hadena bicruris",1,1,"Hadena bicruris","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1787859","Hadena bicruris","Hadena bicruris"
"Hadena caesia",1,1,"Hadena caesia","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1787697","Hadena caesia","Hadena caesia"
"Hadena capsincola",1,1,"Hadena capsincola","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1787841","Hadena capsincola","Hadena capsincola"
"Hadena compta",1,1,"Hadena compta","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1787590","Hadena compta","Hadena compta"
"Hadena confusa",1,1,"Hadena confusa","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1787770","Hadena confusa","Hadena confusa"
"Hadena filograna",1,1,"Hadena filograna","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:4534086","Hadena filograna","Hadena filograna"
"Hadena irregularis",1,1,"Hadena irregularis","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1787631","Hadena irregularis","Hadena irregularis"
"Hadena perplexa",1,1,"Hadena perplexa","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1787610","Hadena perplexa","Hadena perplexa"
"Sideridis rivularis",1,1,"Hadena rivularis","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1787614","Hadena rivularis","Hadena rivularis"
"Hadromophryne natalensis",1,1,"Hadromophryne natalensis","Animalia","Chordata","Amphibia","Anura","Heleophrynidae","gbif","GBIF:2428937","Hadromophryne natalensis","Hadromophryne natalensis"
"Anarta melanopa",0,1,"Anarta melanopa","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1789553","Hadula melanopa","Hadula melanopa"
"Haematopota crassicornis",1,1,"Haematopota crassicornis","Animalia","Arthropoda","Insecta","Diptera","Tabanidae","gbif","GBIF:1495771","Haematopota crassicornis","Haematopota crassicornis"
"Haematopus ostralegus",1,1,"Haematopus ostralegus","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","gbif","GBIF:7788295","Haematopus ostralegus","Haematopus ostralegus"
"Haematopus palliatus",1,0,"Haematopus palliatus","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","gbif","GBIF:2480273","Haematopus palliatus","Haematopus palliatus"
"Haematortyx sanguiniceps",0,1,"Haematortyx sanguiniceps","Animalia","Chordata","Aves","Galliformes","Phasianidae","gbif","GBIF:2473719","Haematortyx sanguiniceps","Haematortyx sanguiniceps"
"Haemorhous cassinii",0,1,"Haemorhous cassinii","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:8255548","Haemorhous cassinii","Haemorhous cassinii"
"Haemorhous mexicanus",1,1,"Haemorhous mexicanus","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:8323485","Haemorhous mexicanus","Haemorhous mexicanus"
"Haemorhous purpureus",1,1,"Haemorhous purpureus","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:7804446","Haemorhous purpureus","Haemorhous purpureus"
"Hafferia fortis",0,1,"Myrmeciza fortis","Animalia","Chordata","Aves","Passeriformes","Thamnophilidae","gbif","GBIF:2490159","Hafferia fortis","Hafferia fortis"
"Hagenius brevistylus",0,1,"Hagenius brevistylus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","gbif","GBIF:1426642","Hagenius brevistylus","Hagenius brevistylus"
"Hahnia helveola",1,1,"Hahnia helveola","Animalia","Arthropoda","Arachnida","Araneae","Hahniidae","gbif","GBIF:5168738","Hahnia helveola","Hahnia helveola"
"Hahnia montana",1,1,"Hahnia montana","Animalia","Arthropoda","Arachnida","Araneae","Hahniidae","gbif","GBIF:5168736","Hahnia montana","Hahnia montana"
"Iberina montana",1,1,"Iberina montana","Animalia","Arthropoda","Arachnida","Araneae","Hahniidae","gbif","GBIF:8102850","Hahnia montana","Hahnia montana"
"Hahnia nava",1,1,"Hahnia nava","Animalia","Arthropoda","Arachnida","Araneae","Hahniidae","gbif","GBIF:5168728","Hahnia nava","Hahnia nava"
"Hainardia cylindrica",1,1,"Hainardia cylindrica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2705690","Hainardia cylindrica","Hainardia cylindrica"
"Halaelurus natalensis",0,1,"Halaelurus natalensis","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","gbif","GBIF:2418522","Halaelurus natalensis","Halaelurus natalensis"
"Halcyon albiventris",0,1,"Halcyon albiventris","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","gbif","GBIF:5228322","Halcyon albiventris","Halcyon albiventris"
"Halcyon chelicuti",0,1,"Halcyon chelicuti","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","gbif","GBIF:5228300","Halcyon chelicuti","Halcyon chelicuti"
