"species","v1","v2","scientificName","kingdom","phylum","class","order","family","db","db_code","reported_name_fixed","reported_name"
"Abaciscus tristis",1,1,"Abaciscus tristis","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1986936","Abaciscus tristis","Abaciscus tristis"
"Abax parallelepipedus",1,1,"Abax parallelepipedus","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","gbif","GBIF:5754772","Abax parallelepipedus","Abax parallelepipedus"
"Abax parallelus",1,1,"Abax parallelus","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","gbif","GBIF:5754817","Abax parallelus","Abax parallelus"
"Abies alba",1,1,"Abies alba","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685484","Abies alba","Abies alba"
"Abies balsamea",1,1,"Abies balsamea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685383","Abies balsamea","Abies balsamea"
"Abies concolor",1,1,"Abies concolor","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685580","Abies concolor","Abies concolor"
"Abies grandis",1,1,"Abies grandis","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685361","Abies grandis","Abies grandis"
"Abies kawakamii",1,0,"Abies kawakamii","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:8326713","Abies kawakamii","Abies kawakamii"
"Abies lasiocarpa",0,1,"Abies lasiocarpa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685313","Abies lasiocarpa","Abies lasiocarpa"
"Abies magnifica",1,1,"Abies magnifica","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685422","Abies magnifica","Abies magnifica"
"Abies nordmanniana",1,1,"Abies nordmanniana","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685552","Abies nordmanniana","Abies nordmanniana"
"Abies pinsapo",0,1,"Abies pinsapo","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685464","Abies pinsapo","Abies pinsapo"
"Abra alba",1,1,"Abra alba","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","gbif","GBIF:5189061","Abra alba","Abra alba"
"Abra prismatica",1,1,"Abra prismatica","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","gbif","GBIF:5189053","Abra prismatica","Abra prismatica"
"Abramis brama",1,1,"Abramis brama","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:9809222","Abramis brama","Abramis brama"
"Abraxas grossulariatus",1,1,"Abraxas grossulariata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967873","Abraxas grossulariata","Abraxas grossulariata"
"Abraxas grossulariata",1,1,"Abraxas grossulariata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967873","Abraxas grossulariata","Abraxas grossulariata"
"Abraxas intervacuata",1,1,"Abraxas intervacuata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967959","Abraxas intervacuata","Abraxas intervacuata"
"Abraxas invasata",1,1,"Abraxas invasata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967945","Abraxas invasata","Abraxas invasata"
"Abraxas sylvata",1,1,"Abraxas sylvata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967815","Abraxas sylvata","Abraxas sylvata"
"Abronia latifolia",1,1,"Abronia latifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384891","Abronia latifolia","Abronia latifolia"
"Abronia maritima",1,1,"Abronia maritima","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384895","Abronia maritima","Abronia maritima"
"Abronia nana",1,1,"Abronia nana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384875","Abronia nana","Abronia nana var. covillei"
"Abronia pogonantha",1,1,"Abronia pogonantha","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384868","Abronia pogonantha","Abronia pogonantha"
"Abronia umbellata",1,1,"Abronia umbellata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384870","Abronia umbellata","Abronia umbellata"
"Abronia villosa",1,1,"Abronia villosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384880","Abronia villosa","Abronia villosa"
"Abronia villosa",1,1,"Abronia villosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384880","Abronia villosa","Abronia villosa var. aurita"
"Abronia villosa",1,1,"Abronia villosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384880","Abronia villosa","Abronia villosa var. villosa"
"Abroscopus superciliaris",1,1,"Abroscopus superciliaris","Animalia","Chordata","Aves","Passeriformes","Cettiidae","gbif","GBIF:2493238","Abroscopus superciliaris","Abroscopus superciliaris"
"Abrostola asclepiadis",1,1,"Abrostola asclepiadis","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1767608","Abrostola asclepiadis","Abrostola asclepiadis"
"Abrostola tripartita",1,1,"Abrostola tripartita","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1767625","Abrostola tripartita","Abrostola tripartita"
"Abrostola triplasia",1,1,"Abrostola triplasia","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1767597","Abrostola triplasia","Abrostola triplasia"
"Podistra schoenherri",1,1,"Podistra schoenherri","Animalia","Arthropoda","Insecta","Coleoptera","Cantharidae","gbif","GBIF:4429884","Absidia schoenherri","Absidia schoenherri"
"Aburria aburri",0,1,"Aburria aburri","Animalia","Chordata","Aves","Galliformes","Cracidae","gbif","GBIF:2482313","Aburria aburri","Aburria aburri"
"Abutilon theophrasti",1,1,"Abutilon theophrasti","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:3152614","Abutilon theophrasti","Abutilon theophrasti"
"Faidherbia albida",1,0,"Acacia albida","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:7751817","Acacia albida","Acacia albida"
"Senegalia ataxacantha",1,0,"Senegalia ataxacantha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:7510932","Acacia ataxacantha","Acacia ataxacantha"
"Acacia baileyana",1,1,"Acacia baileyana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2981303","Acacia baileyana","Acacia baileyana"
"Acacia dealbata",1,1,"Acacia dealbata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2979474","Acacia dealbata","Acacia dealbata"
"Acacia koa",1,1,"Acacia koa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2980514","Acacia koa","Acacia koa"
"Acacia longifolia",1,1,"Acacia longifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2978730","Acacia longifolia","Acacia longifolia"
"Senegalia macrostachya",1,0,"Senegalia macrostachya","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:7936172","Acacia macrostachya","Acacia macrostachya"
"Acacia melanoxylon",1,1,"Acacia melanoxylon","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2979000","Acacia melanoxylon","Acacia melanoxylon"
"Vachellia nilotica",1,0,"Acacia nilotica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:10702004","Acacia nilotica","Acacia nilotica adansonii"
"Vachellia nilotica",1,0,"Acacia nilotica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:10702004","Acacia nilotica","Acacia nilotica tomentosa"
"Vachellia tortilis",1,0,"Vachellia tortilis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:3974700","Acacia raddiana","Acacia raddiana"
"Senegalia senegal",1,0,"Acacia senegal","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:10839062","Acacia senegal","Acacia senegal"
"Vachellia seyal",1,0,"Vachellia seyal","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:3974722","Acacia seyal","Acacia seyal"
"Vachellia sieberiana",1,0,"Acacia sieberiana","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae","itis","ITIS:819747","Acacia sieberiana","Acacia sieberiana"
"Acaena argentea",1,1,"Acaena argentea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5370675","Acaena argentea","Acaena argentea"
"Acaena magellanica",1,1,"Acaena magellanica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5370832","Acaena magellanica","Acaena magellanica"
"Acalles camelus",1,1,"Acalles camelus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","gbif","GBIF:1211506","Acalles camelus","Acalles camelus"
"Acalypha californica",1,1,"Acalypha californica","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3056674","Acalypha californica","Acalypha californica"
"Acalypha virginica",1,0,"Acalypha virginica","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3056055","Acalypha virginica","Acalypha virginica"
"Acamptopappus shockleyi",1,1,"Acamptopappus shockleyi","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113876","Acamptopappus shockleyi","Acamptopappus shockleyi"
"Acamptopappus sphaerocephalus",1,1,"Acamptopappus sphaerocephalus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113874","Acamptopappus sphaerocephalus","Acamptopappus sphaerocephalus"
"Acamptopappus sphaerocephalus",1,1,"Acamptopappus sphaerocephalus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113874","Acamptopappus sphaerocephalus","Acamptopappus sphaerocephalus var. hirtellus"
"Acamptopappus sphaerocephalus",1,1,"Acamptopappus sphaerocephalus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113874","Acamptopappus sphaerocephalus","Acamptopappus sphaerocephalus var. sphaerocephalus"
"Acanthagenys rufogularis",1,0,"Acanthagenys rufogularis","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","gbif","GBIF:2487054","Acanthagenys rufogularis","Acanthagenys rufogularis"
"Acanthaluteres spilomelanurus",1,1,"Acanthaluteres spilomelanurus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","gbif","GBIF:2406696","Acanthaluteres spilomelanurus","Acanthaluteres spilomelanurus"
"Acanthaluteres vittiger",1,1,"Acanthaluteres vittiger","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","gbif","GBIF:2406702","Acanthaluteres vittiger","Acanthaluteres vittiger"
"Acanthina punctulata",0,1,"Acanthina punctulata","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","gbif","GBIF:9767120","Acanthina punctulata","Acanthina punctulata"
"Acanthis flammea",0,1,"Acanthis flammea","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:5231630","Acanthis flammea","Acanthis flammea"
"Acanthis flammea",0,1,"Acanthis flammea","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:5231630","Acanthis flammea","Acanthis flammea carduelis flammea)"
"Acanthiza apicalis",1,0,"Acanthiza apicalis","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:7341406","Acanthiza apicalis","Acanthiza apicalis"
"Acanthiza chrysorrhoa",1,0,"Acanthiza chrysorrhoa","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230400","Acanthiza chrysorrhoa","Acanthiza chrysorrhoa"
"Acanthiza ewingii",1,0,"Acanthiza ewingii","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230404","Acanthiza ewingii","Acanthiza ewingii"
"Acanthiza inornata",1,0,"Acanthiza inornata","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230408","Acanthiza inornata","Acanthiza inornata"
"Acanthiza iredalei",1,0,"Acanthiza iredalei","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230405","Acanthiza iredalei","Acanthiza iredalei"
"Acanthiza katherina",1,0,"Acanthiza katherina","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230409","Acanthiza katherina","Acanthiza katherina"
"Acanthiza lineata",1,0,"Acanthiza lineata","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230401","Acanthiza lineata","Acanthiza lineata"
"Acanthiza nana",1,0,"Acanthiza nana","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230410","Acanthiza nana","Acanthiza nana"
"Acanthiza pusilla",1,0,"Acanthiza pusilla","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230402","Acanthiza pusilla","Acanthiza pusilla"
"Acanthiza reguloides",1,0,"Acanthiza reguloides","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230407","Acanthiza reguloides","Acanthiza reguloides"
"Acanthiza robustirostris",1,0,"Acanthiza robustirostris","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230411","Acanthiza robustirostris","Acanthiza robustirostris"
"Acanthiza uropygialis",1,0,"Acanthiza uropygialis","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230403","Acanthiza uropygialis","Acanthiza uropygialis"
"Acanthochitona achates",1,1,"Acanthochitona achates","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","gbif","GBIF:2305930","Acanthochitona achates","Acanthochitona achates"
"Acanthodactylus erythrurus",1,1,"Acanthodactylus erythrurus","Animalia","Chordata","Reptilia","Squamata","Lacertidae","gbif","GBIF:5226733","Acanthodactylus erythrurus","Acanthodactylus erythrurus"
"Acanthomintha ilicifolia",1,1,"Acanthomintha ilicifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:2927083","Acanthomintha ilicifolia","Acanthomintha ilicifolia"
"Acanthomintha lanceolata",1,1,"Acanthomintha lanceolata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:2927082","Acanthomintha lanceolata","Acanthomintha lanceolata"
"Acanthopleura echinata",1,1,"Acanthopleura echinata","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","gbif","GBIF:5193731","Acanthopleura echinata","Acanthopleura echinata"
"Liolophura japonica",1,1,"Liolophura japonica","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","gbif","GBIF:2306237","Acanthopleura japonica","Acanthopleura japonica"
"Acanthorhynchus superciliosus",1,0,"Acanthorhynchus superciliosus","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","gbif","GBIF:5230471","Acanthorhynchus superciliosus","Acanthorhynchus superciliosus"
"Acanthorhynchus tenuirostris",1,0,"Acanthorhynchus tenuirostris","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","gbif","GBIF:5230466","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris"
"Acanthornis magnus",1,0,"Acanthornis magna","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:7341473","Acanthornis magnus","Acanthornis magnus"
"Acanthoscyphus parishii",1,1,"Acanthoscyphus parishii","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:6391746","Acanthoscyphus parishii","Acanthoscyphus parishii var. goodmaniana"
"Acanthosoma haemorrhoidale",1,1,"Acanthosoma haemorrhoidale","Animalia","Arthropoda","Insecta","Hemiptera","Acanthosomatidae","gbif","GBIF:5866246","Acanthosoma haemorrhoidale","Acanthosoma haemorrhoidale"
"Acanthurus xanthopterus",0,1,"Acanthurus xanthopterus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","gbif","GBIF:5209252","Acanthurus xanthopterus","Acanthurus xanthopterus"
"Acasis viretata",1,1,"Acasis viretata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:7681733","Acasis viretata","Acasis viretata"
"Accipiter badius",0,1,"Accipiter badius","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480610","Accipiter badius","Accipiter badius"
"Accipiter cooperii",1,1,"Accipiter cooperii","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480621","Accipiter cooperii","Accipiter cooperii"
"Accipiter gentilis",1,1,"Accipiter gentilis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480589","Accipiter gentilis","Accipiter gentilis"
"Accipiter melanoleucus",0,1,"Accipiter melanoleucus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480631","Accipiter melanoleucus","Accipiter melanoleucus"
"Accipiter meyerianus",1,1,"Accipiter meyerianus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480602","Accipiter meyerianus","Accipiter meyerianus"
"Accipiter minullus",0,1,"Accipiter minullus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480594","Accipiter minullus","Accipiter minullus"
"Accipiter nisus",1,1,"Accipiter nisus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480637","Accipiter nisus","Accipiter nisus"
"Accipiter novaehollandiae",1,0,"Accipiter novaehollandiae","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480629","Accipiter novaehollandiae","Accipiter novaehollandiae"
"Accipiter ovampensis",0,1,"Accipiter ovampensis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480587","Accipiter ovampensis","Accipiter ovampensis"
"Accipiter poliocephalus",1,1,"Accipiter poliocephalus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480607","Accipiter poliocephalus","Accipiter poliocephalus"
"Accipiter rufiventris",0,1,"Accipiter rufiventris","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480609","Accipiter rufiventris","Accipiter rufiventris"
"Accipiter striatus",1,1,"Accipiter striatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:9740253","Accipiter striatus","Accipiter striatus"
"Accipiter tachiro",0,1,"Accipiter tachiro","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480635","Accipiter tachiro","Accipiter tachiro"
"Accipiter trivirgatus",1,1,"Accipiter trivirgatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480603","Accipiter trivirgatus","Accipiter trivirgatus"
"Accipiter virgatus",0,1,"Accipiter virgatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480595","Accipiter virgatus","Accipiter virgatus"
"Acer saccharum",1,0,"Acer barbatum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189871","Acer barbatum","Acer barbatum"
"Acer campestre",1,1,"Acer campestre","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189863","Acer campestre","Acer campestre"
"Acer circinatum",1,1,"Acer circinatum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189884","Acer circinatum","Acer circinatum"
"Acer glabrum",1,1,"Acer glabrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189864","Acer glabrum","Acer glabrum"
"Acer glabrum",1,1,"Acer glabrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189864","Acer glabrum","Acer glabrum var. diffusum"
"Acer glabrum",1,1,"Acer glabrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189864","Acer glabrum","Acer glabrum var. glabrum"
"Acer macrophyllum",1,1,"Acer macrophyllum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189835","Acer macrophyllum","Acer macrophyllum"
"Acer monspessulanum",1,1,"Acer monspessulanum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:7262958","Acer monspessulanum","Acer monspessulanum"
"Acer monspessulanum",1,1,"Acer monspessulanum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:7262958","Acer monspessulanus","Acer monspessulanus"
"Acer negundo",1,1,"Acer negundo","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189866","Acer negundo","Acer negundo"
"Acer saccharum",1,0,"Acer nigrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189854","Acer nigrum","Acer nigrum"
"Acer opalus",1,1,"Acer opalus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:7100278","Acer opalus","Acer opalus"
"Acer pensylvanicum",1,0,"Acer pensylvanicum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189836","Acer pennsylvanicum","Acer pennsylvanicum"
"Acer pensylvanicum",1,1,"Acer pensylvanicum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189836","Acer pensylvanicum","Acer pensylvanicum"
"Acer platanoides",1,1,"Acer platanoides","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189846","Acer platanoides","Acer platanoides"
"Acer pseudoplatanus",1,1,"Acer pseudoplatanus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189870","Acer pseudoplatanus","Acer pseudoplatanus"
"Acer rubrum",1,1,"Acer rubrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189883","Acer rubrum","Acer rubrum"
"Acer saccharinum",1,1,"Acer saccharinum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189837","Acer saccharinum","Acer saccharinum"
"Acer saccharum",1,1,"Acer saccharum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189859","Acer saccharum","Acer saccharum"
"Acer spicatum",1,1,"Acer spicatum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189848","Acer spicatum","Acer spicatum"
"Arctia alpina",1,1,"Acerbia alpina","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","gbif","GBIF:5115794","Acerbia alpina","Acerbia alpina"
"Parasteatoda lunata",0,1,"Parasteatoda lunata","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","gbif","GBIF:4550746","Achaearanea lunata","Achaearanea lunata"
"Cecropterus lyciades",0,1,"Achalarus lyciades","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","gbif","GBIF:1950349","Achalarus lyciades","Achalarus lyciades"
"Achelous spinicarpus",1,1,"Achelous spinicarpus","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","gbif","GBIF:5974595","Achelous spinicarpus","Achelous spinicarpus"
"Achelous spinimanus",1,1,"Achelous spinimanus","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","gbif","GBIF:5863626","Achelous spinimanus","Achelous spinimanus"
"Acherontia atropos",1,1,"Acherontia atropos","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","gbif","GBIF:1861510","Acherontia atropos","Acherontia atropos"
"Acheta domesticus",1,1,"Acheta domesticus","Animalia","Arthropoda","Insecta","Orthoptera","Gryllidae","gbif","GBIF:1718308","Acheta domesticus","Acheta domesticus"
"Achillea atrata",1,1,"Achillea atrata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120203","Achillea atrata","Achillea atrata"
"Achillea clavennae",1,0,"Achillea clavennae","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120117","Achillea clavenae","Achillea clavenae"
"Achillea clavennae",1,1,"Achillea clavennae","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120117","Achillea clavennae","Achillea clavennae"
"Achillea distans",1,0,"Achillea distans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120264","Achillea distans","Achillea distans"
"Achillea fragrantissima",0,1,"Achillea fragrantissima","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120394","Achillea fragrantissima","Achillea fragrantissima"
"Achillea millefolium",1,1,"Achillea millefolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120060","Achillea millefolium","Achillea millefolium"
"Achillea erba-rotta",1,1,"Achillea erba-rotta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:9536147","Achillea moscata","Achillea moscata"
"Achillea moschata",1,1,"Achillea erba-rotta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:9536147","Achillea moschata","Achillea moschata"
"Achillea nana",1,1,"Achillea nana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8714852","Achillea nana","Achillea nana"
"Achillea ptarmica",1,1,"Achillea ptarmica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120333","Achillea ptarmica","Achillea ptarmica"
"Achillea virescens",1,0,"Achillea virescens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120197","Achillea virescens","Achillea virescens"
"Achlya flavicornis",1,1,"Achlya flavicornis","Animalia","Arthropoda","Insecta","Lepidoptera","Drepanidae","gbif","GBIF:3276352","Achlya flavicornis","Achlya flavicornis"
"Achlys triphylla",1,1,"Achlys triphylla","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","gbif","GBIF:5371714","Achlys triphylla","Achlys triphylla subsp. triphylla"
"Achnatherum calamagrostis",1,0,"Achnatherum calamagrostis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:4142326","Achnatherum calamagrostis","Achnatherum calamagrostis"
"Pappostipa speciosa",0,1,"Pappostipa speciosa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:6069181","Achnatherum speciosum","Achnatherum speciosum"
"Achoerodus viridis",0,1,"Achoerodus viridis","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","gbif","GBIF:2383154","Achoerodus viridian","Achoerodus viridian"
"Manilkara zapota",1,0,"Manilkara zapota","Plantae","Tracheophyta","Magnoliopsida","Ericales","Sapotaceae","gbif","GBIF:2885158","Achras sapota","Achras sapota"
"Achrosis lithosiaria",1,1,"Achrosis lithosiaria","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridqe","Bioshifts_v1",NA,"Achrosis lithosiaria","Achrosis lithosiaria"
