Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate_°Cmin-1,duration_of_chronic_exposure,pretreatment_temp_°C,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,lat_of_collection,long_of_collection,elevation_of_collection_(ft),location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes
Hyla,lesueuri,31.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Autumn,38°S,,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,34.1,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Autumn,38°S,,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,34.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,25,NA,NA,Autumn,38°S,,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,30.3,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,32.0,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,5,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,33.1,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,25,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,lesueuri,34.8,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,25,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,31.0,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,35.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,5,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,32.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,36.3,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,25,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,37.7,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,25,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,33.0,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,31°S,,2400,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,35.5,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,5,NA,NA,Spring,31°S,,2400,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,36.2,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,25,NA,NA,Spring,31°S,,2400,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,37.7,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,25,NA,NA,Spring,31°S,,2400,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,35.0,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Autumn,38°S,,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,peroni,38.1,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Autumn,38°S,,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,phyllochroa,29.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,phyllochroa,29.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,Animals reused in the same test (first day animal used in day 2) 
Hyla,phyllochroa,34.3,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,5,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,Animals reused in the same test (first day animal used in day 2) 
Hyla,phyllochroa,31.4,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,20,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,Animals reused in the same test (first day animal used in day 2) 
Hyla,phyllochroa,35.0,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,20,NA,NA,Spring,38°S,,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,Animals reused in the same test (first day animal used in day 2) 
Hyla,phyllochroa,30.0,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Autumn,38°S,,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rothi,36.2,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,21°S,,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rothi,37.5,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Summer,21°S,,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rothi,38.9,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,21°S,,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rothi,39.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,30,NA,NA,Summer,21°S,,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rothi,31.9,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rothi,34.5,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rothi,39.4,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rothi,40.1,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,30,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rubella,35.9,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,21°S,,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rubella,37.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Summer,21°S,,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rubella,39.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,21°S,,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rubella,40.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,30,NA,NA,Summer,21°S,,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rubella,35.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,Animals reused in the same test (first day animal used in day 3) 
Hyla,rubella,37.3,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,Animals reused in the same test (first day animal used in day 3) 
Hyla,rubella,38.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,Animals reused in the same test (first day animal used in day 3) 
Hyla,rubella,39.4,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,30,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,Animals reused in the same test (first day animal used in day 3) 
Hyla,rubella,35.8,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,20°S,,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rubella,37.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Summer,20°S,,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rubella,39.3,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,20°S,,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rubella,40.8,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,30,NA,NA,Summer,20°S,,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Hyla,rubella,41.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,18°S,,2400,Atherton_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic ,
Limnodynastes,dorsalis,32.1,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Summer,31°S,,2000,Tamworth_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,dorsalis,36.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,25,NA,NA,Summer,31°S,,2000,Tamworth_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,dorsalis,36.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,25,NA,NA,Summer,31°S,,2000,Tamworth_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,dorsalis,33.2,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,39°S,,1000,Wilson's_prom_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
