Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,duration_of_chronic_exposure,pretreatment_temp,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,lat_of_collection,long_of_collection,elevation_of_collection,location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes_1,Notes_2
Celmisia,viscosa,-13.8,tmin,NA,NA,NA,lethal,frost_resistance_LT50,5dC.h-1,8h,NA,NA,-1.68,5_18march2004,45d19'35''s,169d12'22''e,1650,Old Man Range Southern New Zealand,Bannister_et_al_2005,NA,Streptophyta,Spermatophyta,Asterales,Asteraceae,terrestrial,terrestrial,"Pretreatment temperature: initial cooling to a temperature close to freezing, temperature before pretreatment = mean mimimum temperature",Held for 8h at the target temperature
Celmisia,viscosa,-17.8,tmin,NA,NA,NA,lethal,frost_resistance_LT50,5dC.h-1,8h,NA,NA,-0.45,5_18march2004,44d53'06''s,169d05'56''e,1520,Pisa Range Southern New Zealand,Bannister_et_al_2005,NA,Streptophyta,Spermatophyta,Asterales,Asteraceae,terrestrial,terrestrial,"Pretreatment temperature: initial cooling to a temperature close to freezing, temperature before pretreatment = mean mimimum temperature",Held for 8h at the target temperature
Dracophyllum,muscoides,-8.7,tmin,NA,NA,NA,lethal,frost_resistance_LT50,5dC.h-1,8h,NA,NA,-0.33,5_18march2004,45d25'05''s,170d05'29''e,1240,Rock and Pillar Range Southern New Zealand,Bannister_et_al_2005,NA,Streptophyta,Spermatophyta,Ericales,Ericaceae,terrestrial,terrestrial,"Pretreatment temperature: initial cooling to a temperature close to freezing, temperature before pretreatment = mean mimimum temperature",Held for 8h at the target temperature
Dracophyllum,muscoides,-8.5,tmin,NA,NA,NA,lethal,frost_resistance_LT50,5dC.h-1,8h,NA,NA,-1.68,5_18march2004,45d19'35''s,169d12'22''e,1650,Old Man Range Southern New Zealand,Bannister_et_al_2005,NA,Streptophyta,Spermatophyta,Ericales,Ericaceae,terrestrial,terrestrial,"Pretreatment temperature: initial cooling to a temperature close to freezing, temperature before pretreatment = mean mimimum temperature",Held for 8h at the target temperature
Dracophyllum,muscoides,-13.7,tmin,NA,NA,NA,lethal,frost_resistance_LT50,5dC.h-1,8h,NA,NA,-0.45,5_18march2004,44d53'06''s,169d05'56''e,1520,Pisa Range Southern New Zealand,Bannister_et_al_2005,NA,Streptophyta,Spermatophyta,Ericales,Ericaceae,terrestrial,terrestrial,"Pretreatment temperature: initial cooling to a temperature close to freezing, temperature before pretreatment = mean mimimum temperature",Held for 8h at the target temperature
Hectorella,caespitosa,-8.7,tmin,NA,NA,NA,lethal,frost_resistance_LT50,5dC.h-1,8h,NA,NA,-1.68,5_18march2004,45d19'35''s,169d12'22''e,1650,Old Man Range Southern New Zealand,Bannister_et_al_2005,NA,Streptophyta,Spermatophyta,Caryophyllales,Montiaceae,terrestrial,terrestrial,"Pretreatment temperature: initial cooling to a temperature close to freezing, temperature before pretreatment = mean mimimum temperature",Held for 8h at the target temperature
Hectorella,caespitosa,-12.6,tmin,NA,NA,NA,lethal,frost_resistance_LT50,5dC.h-1,8h,NA,NA,-0.45,5_18march2004,44d53'06''s,169d05'56''e,1520,Pisa Range Southern New Zealand,Bannister_et_al_2005,NA,Streptophyta,Spermatophyta,Caryophyllales,Montiaceae,terrestrial,terrestrial,"Pretreatment temperature: initial cooling to a temperature close to freezing, temperature before pretreatment = mean mimimum temperature",Held for 8h at the target temperature
Poa,colensoi,-12.1,tmin,NA,NA,NA,lethal,frost_resistance_LT50,5dC.h-1,8h,NA,NA,-0.45,5_18march2004,44d53'06''s,169d05'56''e,1520,Pisa Range Southern New Zealand,Bannister_et_al_2005,NA,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,"Pretreatment temperature: initial cooling to a temperature close to freezing, temperature before pretreatment = mean mimimum temperature",Held for 8h at the target temperature
Poa,colensoi,-14.4,tmin,NA,NA,NA,lethal,frost_resistance_LT50,5dC.h-1,8h,NA,NA,-1.68,5_18march2004,45d19'35''s,169d12'22''e,1650,Old Man Range Southern New Zealand,Bannister_et_al_2005,NA,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,"Pretreatment temperature: initial cooling to a temperature close to freezing, temperature before pretreatment = mean mimimum temperature",Held for 8h at the target temperature
Poa,colensoi,-14.2,tmin,NA,NA,NA,lethal,frost_resistance_LT50,5dC.h-1,8h,NA,NA,-0.45,5_18march2004,44d53'06''s,169d05'56''e,1520,Pisa Range Southern New Zealand,Bannister_et_al_2005,NA,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,"Pretreatment temperature: initial cooling to a temperature close to freezing, temperature before pretreatment = mean mimimum temperature",Held for 8h at the target temperature
Bromus,rubens,-11.9,tmin,1.3,SD,8,critical,TEL50_temperature_at_which_50%_electrolytes_leached_out_of_leaf_segments,2dC.h-1,NA,-5,4d,10,october,36d20'n,115d08'w,905,National Desert Wildlife Refuge Nevada ,Bykova_&_Sage_2012,young,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,young=2 months,
Bromus,rubens,-12.4,tmin,1.8,SD,8,critical,TEL50_temperature_at_which_50%_electrolytes_leached_out_of_leaf_segments,2dC.h-1,NA,-5,4d,10,october,34d42'n,113d36'w,580,Roadside Wikieup Arizona,Bykova_&_Sage_2012,young,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,young=2 months,
Bromus,rubens,-13.3,tmin,2.4,SD,8,critical,TEL50_temperature_at_which_50%_electrolytes_leached_out_of_leaf_segments,2dC.h-1,NA,-5,4d,10,october,32d27'n,110d42'w,1800,Picnic area Santa Catalina Mountains Arizona,Bykova_&_Sage_2012,young,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,young=2 months,
Bromus,rubens,-19.3,tmin,4.6,SD,8,critical,TEL50_temperature_at_which_50%_electrolytes_leached_out_of_leaf_segments,2dC.h-1,NA,-5,4d,10,october,36d20'n,115d08'w,905,National Desert Wildlife Refuge Nevada ,Bykova_&_Sage_2012,mature,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,mature=4 months,
Bromus,rubens,-23,tmin,1.9,SD,8,critical,TEL50_temperature_at_which_50%_electrolytes_leached_out_of_leaf_segments,2dC.h-1,NA,-5,4d,10,october,34d42'n,113d36'w,580,Roadside Wikieup Arizona,Bykova_&_Sage_2012,mature,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,mature=4 months,
Bromus,rubens,-21.5,tmin,4.3,SD,8,critical,TEL50_temperature_at_which_50%_electrolytes_leached_out_of_leaf_segments,2dC.h-1,NA,-5,4d,10,october,32d27'n,110d42'w,1800,Picnic area Santa Catalina Mountains Arizona,Bykova_&_Sage_2012,mature,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,mature=4 months,
Bromus,rubens,-23.8,tmin,2.7,SD,8,critical,TEL50_temperature_at_which_50%_electrolytes_leached_out_of_leaf_segments,2dC.h-1,NA,-5,7d,10,october,36d20'n,115d08'w,905,National Desert Wildlife Refuge Nevada ,Bykova_&_Sage_2012,young,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,young=2 months,
Bromus,rubens,-22.9,tmin,3.1,SD,8,critical,TEL50_temperature_at_which_50%_electrolytes_leached_out_of_leaf_segments,2dC.h-1,NA,-5,7d,10,october,34d42'n,113d36'w,580,Roadside Wikieup Arizona,Bykova_&_Sage_2012,young,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,young=2 months,
Bromus,rubens,-24.4,tmin,2.4,SD,8,critical,TEL50_temperature_at_which_50%_electrolytes_leached_out_of_leaf_segments,2dC.h-1,NA,-5,7d,10,october,32d27'n,110d42'w,1800,Picnic area Santa Catalina Mountains Arizona,Bykova_&_Sage_2012,young,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,young=2 months,
Bromus,rubens,-21.4,tmin,3.4,SD,8,critical,TEL50_temperature_at_which_50%_electrolytes_leached_out_of_leaf_segments,2dC.h-1,NA,-5,7d,10,october,36d20'n,115d08'w,905,National Desert Wildlife Refuge Nevada ,Bykova_&_Sage_2012,mature,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,mature=4 months,
Bromus,rubens,-22.9,tmin,3.3,SD,8,critical,TEL50_temperature_at_which_50%_electrolytes_leached_out_of_leaf_segments,2dC.h-1,NA,-5,7d,10,october,34d42'n,113d36'w,580,Roadside Wikieup Arizona,Bykova_&_Sage_2012,mature,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,mature=4 months,
Bromus,rubens,-22.3,tmin,3.2,SD,8,critical,TEL50_temperature_at_which_50%_electrolytes_leached_out_of_leaf_segments,2dC.h-1,NA,-5,7d,10,october,32d27'n,110d42'w,1800,Picnic area Santa Catalina Mountains Arizona,Bykova_&_Sage_2012,mature,Streptophyta,Spermatophyta,Poales,Poaceae,terrestrial,terrestrial,mature=4 months,
