Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,duration_of_chronic_exposure,pretreatment_temp,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,lat_of_collection,long_of_collection,elevation_of_collection,location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes
Donax,sordidus,33,tmax,,,,lethal,temperature_at_50%_damage_after_24h_treatment,NA,24h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,
Donax,sordidus,29.2,tmax,,,,lethal,temperature_at_50%_damage_after_48h_treatment,NA,48h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,
Donax,sordidus,28.6,tmax,,,,lethal,temperature_at_50%_damage_after_72h_treatment,NA,72h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,
Donax,sordidus,27.2,tmax,,,,lethal,temperature_at_50%_damage_after_96h_treatment,NA,96h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Bivalvia,Veneroida,Donacidae,intertidal,marine,
Bullia,rhodostoma,34,tmax,,,,lethal,temperature_at_50%_damage_after_12h_treatment,NA,12h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1980,adult,Mollusca,Gastropoda,Neogastropoda,Nassariidae,intertidal,marine,small
Bullia,rhodostoma,33,tmax,,,,lethal,temperature_at_50%_damage_after_24h_treatment,NA,24h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1981,adult,Mollusca,Gastropoda,Neogastropoda,Nassariidae,intertidal,marine,small
Bullia,rhodostoma,31.5,tmax,,,,lethal,temperature_at_50%_damage_after_48h_treatment,NA,48h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1982,adult,Mollusca,Gastropoda,Neogastropoda,Nassariidae,intertidal,marine,small
Bullia,rhodostoma,30.9,tmax,,,,lethal,temperature_at_50%_damage_after_72h_treatment,NA,72h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1983,adult,Mollusca,Gastropoda,Neogastropoda,Nassariidae,intertidal,marine,small
Bullia,rhodostoma,30.8,tmax,,,,lethal,temperature_at_50%_damage_after_96h_treatment,NA,96h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1984,adult,Mollusca,Gastropoda,Neogastropoda,Nassariidae,intertidal,marine,small
Bullia,rhodostoma,34.7,tmax,,,,lethal,temperature_at_50%_damage_after_12h_treatment,NA,12h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1985,adult,Mollusca,Gastropoda,Neogastropoda,Nassariidae,intertidal,marine,large
