genus_species,reference,paper_source,doi,extracted,discarded,notes,found
Plethodon glutinosus,Markle_et_al_2018,new_papers_2019,NA,Y,Y,does not report the ctmax at each acclimation temperature,Y
Plethodon cylindraceus,Markle_et_al_2018,new_papers_2019,NA,Y,Y,does not report what we need,Y
Plethodon montanus,Markle_et_al_2018,new_papers_2019,NA,Y,Y,does not report what we need,Y
Plethodon teyahalee,Markle_et_al_2018,new_papers_2019,NA,Y,Y,does not report what we need,Y
Hippocampus erectus,Mascaro et al 2016,new_papers_2019,NA,Y,Y,juveniles,Y
Plectropomus leopardus,Messmer_et_al_2017,new_papers_2019,NA,Y,Y,does not use multiple acclimation temperatures for Ctmax experiments,Y
Eucidaris tribuloides,Morley_et_al_2016,new_papers_2019,NA,Y,Y,do not study the right thing,Y
Amphibalanus amphitrite,Morley_et_al_2017,new_papers_2019,NA,Y,N,NA,Y
Clupea harengus,Moyano_et_al_2017,new_papers_2019,NA,Y,Y,larvae,Y
Dicentrarchus labrax,Moyano_et_al_2017,new_papers_2019,NA,Y,Y,larvae,Y
Albula vulpes,Murchie et al 2011,Morley,doi:10.1016/j.jtherbio.2010.10.005,Y,N,NA,Y
Gambusia affinis,Otto 1973,Morley,doi: 10.1111/j.1095-8649.1973.tb04490.x,doi: 10.1577/1548-8659(1980)109<632:CTMOFT>2.0.CO;2,Y,Y,already have in intratherm
Alosa pseudoharengus,Otto et al 1976,Morley,doi:10.1577/1548-8659(1976)105<96:LAPTOT>2.0.CO;2,Y,N,NA,Y
Bombus impatiens,Oyen and Dillon 2018,new_papers_2019,NA,Y,Y,bee populations from commercial stock,Y
Centropomus undecimalis,Paschke et al 2018,new_papers_2019,NA,Y,Y,juveniles,Y
Ocyurus chrysurus,Paschke et al 2018,new_papers_2019,NA,Y,Y,juveniles,Y
Amphiprion ocellaris,Paschke et al 2018,new_papers_2019,NA,Y,Y,juveniles,Y
Sardinops sagax,Pribyl_et_al_2016,new_papers_2019,NA,N,N,NA,Y
Panulirus argus,rodriguez_fuentes2017,new_papers_2019,NA,N,N,NA,Y
Anguilla australis,"Simons, 1984",Morley,NA,N,N,NA,N
Galaxias maculatus,"Simons, 1984",Morley,NA,N,N,NA,N
Gambusia affinis,"Simons, 1984",Morley,NA,N,N,NA,N
Gobiomorphus basalis,"Simons, 1984",Morley,NA,N,N,NA,N
Gobiomorphus cotidianus,"Simons, 1984",Morley,NA,N,N,NA,N
Paratya curvirostris,"Simons, 1984",Morley,NA,N,N,NA,N
Etheostoma nigrum,Smith and Fausch 1997,Morley,doi:10.1577/1548-8659(1997)126<0676:TTAVPO>2.3.CO;2,Y,Y,already have in intratherm,
Clupea pallasi,Tsuchida 1995,Morley,doi: 10.1016/0306-4565(94)00024-D,Y,Y,already have in intratherm,
Oncorhynchus keta,Tsuchida 1995,Morley,doi: 10.1016/0306-4565(94)00024-D,Y,Y,already have in intratherm,
Trachurus japonicus,Tsuchida 1995,Morley,doi: 10.1016/0306-4565(94)00024-D,Y,Y,already have in intratherm,
Etheostoma blennioides,Hlohowskyj and Wissing 1985,Morley,doi: 10.1139/z85-241,Y,N,NA,Y
Etheostoma caeruleum,Hlohowskyj and Wissing 1985,Morley,doi: 10.1139/z85-241,Y,N,NA,Y
Etheostoma flabellare,Hlohowskyj and Wissing 1985,Morley,doi: 10.1139/z85-241,Y,N,NA,Y
Saduria entomon,Kivivuori and Lagerspetz 1990,Morley,NA,Y,N,NA,Y
Orconectes rusticus,Layne et al 1987,Morley,doi: 10.1016/0306-4565(87)90001-5,Y,Y,report ARR only,Y
Crangon crangon,Magozzi & Calosi 2014,Morley,doi: 10.1111/gcb.12695,Y,N,NA,Y
Palaemon elegans,Magozzi & Calosi 2014,Morley,doi: 10.1111/gcb.12695,Y,N,NA,Y
Palaemon serratus,Magozzi & Calosi 2014,Morley,doi: 10.1111/gcb.12695,Y,N,NA,Y
Palaemonetes varians,Magozzi & Calosi 2014,Morley,doi: 10.1111/gcb.12695,Y,N,NA,Y
Pandalus montagui,Magozzi & Calosi 2014,Morley,doi: 10.1111/gcb.12695,Y,N,NA,Y
Orchestia gammarellus,Morritt & Ing_lfsson 2000,Morley,doi: 10.1016/S0022-0981(00)00299-9,Y,Y,duplicate,Y
Palaemonetes varians,New et al.2014,Morley,doi: 10.1007/s00227-013-2371-9,Y,N,NA,Y
